complaint_id,customer_key,complaint_date,complaint_type,status,resolution_days,compensation_amount,ofcom_escalated
20000001,775,2024-01-25,Service,Open,,0.0,False
20000002,915,2024-01-31,Billing,Resolved,,0.0,False
20000003,616,2024-01-05,Billing,Under Investigation,27.0,0.0,False
20000004,698,2024-01-22,Other,Under Investigation,22.0,0.0,False
20000005,767,2024-01-31,Customer Service,Closed,,0.0,False
20000006,780,2024-01-20,Customer Service,Under Investigation,20.0,0.0,False
20000007,476,2024-01-21,Billing,Under Investigation,,0.0,False
20000008,400,2024-01-29,Billing,Under Investigation,14.0,0.0,False
20000009,772,2024-01-31,Billing,Closed,,0.0,False
20000010,230,2024-01-31,Service,Resolved,21.0,0.0,False
20000011,576,2024-01-07,Billing,Resolved,10.0,0.0,False
20000012,920,2024-01-18,Contract,Under Investigation,12.0,31.09,False
20000013,7,2024-01-24,Service,Under Investigation,19.0,0.0,False
20000014,55,2024-01-22,Billing,Resolved,1.0,0.0,False
20000015,730,2024-01-15,Network,Closed,29.0,0.0,False
20000016,434,2024-01-23,Other,Closed,,0.0,False
20000017,373,2024-01-16,Billing,Under Investigation,,0.0,False
20000018,350,2024-01-16,Other,Open,18.0,96.12,False
20000019,249,2024-01-03,Other,Resolved,11.0,0.0,True
20000020,707,2024-01-07,Network,Under Investigation,24.0,0.0,False
20000021,184,2024-01-25,Service,Open,,36.73,False
20000022,66,2024-01-18,Contract,Open,2.0,0.0,False
20000023,986,2024-01-01,Network,Closed,,0.0,False
20000024,532,2024-01-26,Other,Open,23.0,0.0,False
20000025,554,2024-01-30,Billing,Open,8.0,0.0,False
20000026,866,2024-01-05,Service,Open,20.0,0.0,False
20000027,302,2024-01-31,Customer Service,Closed,28.0,0.0,False
20000028,114,2024-01-24,Other,Open,,0.0,False
20000029,176,2024-01-13,Network,Resolved,13.0,0.0,False
20000030,876,2024-01-30,Service,Resolved,22.0,0.0,False
20000031,903,2024-01-06,Service,Under Investigation,,0.0,False
20000032,445,2024-01-10,Customer Service,Resolved,,0.0,False
20000033,333,2024-01-14,Service,Closed,,0.0,False
20000034,902,2024-01-07,Service,Closed,8.0,0.0,False
20000035,74,2024-01-06,Customer Service,Under Investigation,12.0,0.0,False
20000036,663,2024-01-01,Service,Closed,13.0,0.0,False
20000037,516,2024-01-01,Network,Resolved,14.0,0.0,False
20000038,816,2024-01-18,Service,Closed,,0.0,False
20000039,428,2024-01-03,Other,Open,14.0,54.87,False
20000040,956,2024-01-07,Contract,Resolved,3.0,0.0,False
20000041,950,2024-01-23,Other,Open,,0.0,False
20000042,594,2024-01-17,Customer Service,Under Investigation,12.0,0.0,False
20000043,254,2024-01-11,Service,Under Investigation,13.0,44.15,False
20000044,244,2024-01-15,Service,Resolved,20.0,0.0,False
20000045,18,2024-01-29,Network,Resolved,8.0,0.0,False
20000046,807,2024-01-24,Network,Resolved,27.0,0.0,False
20000047,660,2024-01-26,Service,Under Investigation,,0.0,False
20000048,827,2024-01-08,Customer Service,Open,5.0,0.0,False
20000049,944,2024-01-23,Other,Open,21.0,13.03,False
20000050,359,2024-01-14,Contract,Resolved,4.0,0.0,False
20000051,314,2024-01-23,Contract,Open,,0.0,False
20000052,817,2024-01-17,Network,Open,23.0,0.0,False
