sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
20000001,2024-01-06,261,22,138,409,12,727.57,14
20000002,2024-01-02,254,42,109,404,50,1346.46,7
20000003,2024-01-23,809,49,149,407,24,974.76,14
20000004,2024-01-29,519,41,197,404,17,1643.17,10
20000005,2024-01-19,949,23,45,407,33,382.5,10
20000006,2024-01-21,81,15,111,411,41,1175.12,5
20000007,2024-01-08,991,15,125,404,34,1116.81,9
20000008,2024-01-13,761,45,46,407,46,1040.73,13
20000009,2024-01-25,27,50,27,402,39,593.6,9
20000010,2024-01-05,406,32,13,411,33,586.79,16
20000011,2024-01-04,582,43,11,406,40,826.03,2
20000012,2024-01-11,584,55,104,403,16,1730.44,8
20000013,2024-01-26,631,2,109,405,48,990.49,15
20000014,2024-01-09,459,18,41,404,47,1115.2,4
20000015,2024-01-22,951,19,134,408,47,654.11,12
20000016,2024-01-19,881,42,124,400,1,1156.56,11
20000017,2024-01-20,418,19,116,400,1,171.81,9
20000018,2024-01-10,470,34,161,405,8,793.59,2
20000019,2024-01-20,924,20,169,400,35,208.27,10
20000020,2024-01-14,575,12,55,407,47,560.12,9
20000021,2024-01-24,775,32,134,403,31,157.16,19
20000022,2024-01-12,778,62,149,400,18,751.02,6
20000023,2024-01-28,58,40,55,411,29,675.74,2
20000024,2024-01-05,107,35,13,405,10,1798.39,10
20000025,2024-01-09,832,10,34,400,26,1696.14,9
20000026,2024-01-31,851,23,148,409,28,230.45,15
20000027,2024-01-18,744,22,141,400,17,703.67,8
20000028,2024-01-07,365,55,179,406,35,501.82,10
20000029,2024-01-15,138,43,89,401,2,614.6,14
20000030,2024-01-19,357,64,6,403,32,233.73,10
20000031,2024-01-03,661,30,69,406,46,625.15,4
20000032,2024-01-16,633,20,51,405,1,1094.07,1
20000033,2024-01-12,162,32,177,411,31,769.27,15
20000034,2024-01-03,659,64,166,408,8,1661.98,13
20000035,2024-01-18,58,22,102,406,12,1217.11,9
20000036,2024-01-07,71,52,66,410,25,1697.29,13
20000037,2024-01-24,208,11,124,406,40,1366.03,2
20000038,2024-01-03,810,23,112,407,39,787.26,15
