record_id,campaign_key,campaign_date,channel,impressions,clicks,conversions,spend,revenue_attributed
20000001,11,2024-01-17,Social,39364,1914,94,2602.16,15085.76
20000002,35,2024-01-03,Email,53541,2133,209,1018.04,25911.73
20000003,18,2024-01-10,Email,11525,559,20,1484.48,1159.59
20000004,25,2024-01-14,Email,41926,1819,84,804.07,8744.99
20000005,8,2024-01-13,Direct Mail,37012,745,46,772.7,7451.78
20000006,31,2024-01-29,Radio,22858,487,35,1196.49,4961.9
20000007,59,2024-01-26,Email,63683,2231,130,2882.11,7692.7
20000008,3,2024-01-07,PPC,68165,1540,153,1019.95,14827.63
20000009,34,2024-01-30,PPC,62104,2485,85,1015.7,5689.64
20000010,40,2024-01-06,PPC,80446,1796,144,2960.89,13738.85
20000011,45,2024-01-26,PPC,14778,175,11,3777.61,1697.42
20000012,12,2024-01-29,Display,77368,3541,271,1867.49,20362.9
20000013,36,2024-01-10,PPC,71026,1649,76,188.08,12084.79
20000014,15,2024-01-30,Radio,16261,693,46,1593.24,3679.13
20000015,22,2024-01-01,Social,20061,564,27,2940.64,2435.57
20000016,40,2024-01-06,Display,22584,567,50,3887.4,5906.92
20000017,53,2024-01-16,Display,54081,2470,202,109.57,29369.72
20000018,37,2024-01-05,Social,81724,2011,111,434.7,6415.22
20000019,3,2024-01-23,Direct Mail,29131,1172,64,2202.15,9836.42
20000020,19,2024-01-26,Display,14612,356,34,1951.19,4263.94
20000021,53,2024-01-09,Display,39734,628,47,555.33,8881.43
20000022,38,2024-01-24,Social,80336,3735,308,380.73,39090.94
20000023,3,2024-01-03,Direct Mail,31233,595,55,629.97,7013.45
20000024,2,2024-01-17,Direct Mail,56577,806,67,4033.6,3723.27
20000025,7,2024-01-24,Display,62691,822,73,217.76,5501.86
20000026,59,2024-01-12,TV,48548,1244,49,4116.89,5662.04
20000027,26,2024-01-01,Display,73370,2067,172,805.95,32757.15
20000028,32,2024-01-22,PPC,71302,3357,312,2368.29,30971.04
20000029,44,2024-01-01,TV,16169,335,30,1841.12,3409.26
20000030,6,2024-01-11,Direct Mail,50652,1941,102,1959.65,16929.34
20000031,43,2024-01-09,PPC,65313,1229,53,1671.75,10144.76
20000032,31,2024-01-06,Display,12207,597,12,2188.24,1042.69
20000033,25,2024-01-27,Social,28441,1004,51,3763.33,7587.21
20000034,25,2024-01-29,Social,28756,374,16,1115.01,925.1
20000035,52,2024-01-27,Email,11782,238,8,2024.84,503.68
20000036,27,2024-01-13,Direct Mail,68843,2501,116,1484.51,11018.25
20000037,34,2024-01-02,Radio,35053,1412,37,412.85,6828.18
20000038,28,2024-01-17,Radio,70534,2838,202,1483.47,36656.54
20000039,5,2024-01-15,Social,5517,149,3,1431.51,520.37
20000040,30,2024-01-26,Email,33818,851,31,1011.76,3489.43
20000041,35,2024-01-13,Display,34765,1101,64,2626.93,8228.91
20000042,36,2024-01-29,Display,16957,796,61,1709.27,4131.42
20000043,25,2024-01-19,Radio,32935,1377,75,1669.99,3882.57
20000044,52,2024-01-11,Email,58038,2604,116,260.12,7129.42
20000045,8,2024-01-28,PPC,82100,3360,95,3222.21,5244.22
20000046,57,2024-01-30,Email,30738,1054,68,2109.48,9958.54
20000047,34,2024-01-09,Display,49912,1198,75,3761.05,8848.58
20000048,5,2024-01-05,Radio,46750,703,36,3987.32,2363.9
20000049,45,2024-01-23,Radio,21902,612,43,4078.55,7580.1
